Epoch,Training Loss,Validation Loss,Validation F1 Score,Validation Accuracy
1,0.8882424733382743,0.23353573699792227,0.9831833716260684,0.9832214765100671
2,0.1519926614909364,0.1042942812293768,0.9731358363787659,0.9731543624161074
3,0.054202772189406744,0.039953807623436054,0.9865614126247783,0.9865771812080537
4,0.02531360522312606,0.07368829691472153,0.9831974714690084,0.9832214765100671
5,0.013578494141915901,0.036231726439048845,0.9865614126247783,0.9865771812080537
